Region,Market,Chart,Name,Unit,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,CAGR
Worldwide,Online Dating,Revenue,Total,billion USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.73,1.93,2.28,2.71,2.77,2.91,3.05,3.16,3.24,3.3,3.37,3.44,3.51,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Revenue,Paying Online Dating,billion USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.73,1.93,2.28,2.71,2.77,2.91,3.05,3.16,3.24,3.3,3.37,3.44,3.51,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Revenue Change,Total,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,11.6,18.5,18.7,2.4,5,4.7,3.8,2.3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Revenue Change,Paying Online Dating,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,11.6,18.5,18.7,2.4,5,4.7,3.8,2.3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Average Revenue per User,Average,USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,7.25,7.03,7.37,7.96,7.71,7.72,7.8,7.83,7.73,7.63,7.54,7.46,7.39,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Average Revenue per User,Paying Online Dating,USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.31,45.47,43.17,42.34,42.26,41.31,40.67,40.56,40.42,39.82,39.29,38.82,38.4,38.01,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Users,Total,million users,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.5,238,274.2,309.8,340.4,359.8,377.2,390.9,404.2,418.7,432.9,447,461,475.1,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Users,Paying Online Dating,million users,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,38,44.6,53.9,64.1,67.1,71.6,75.2,78.3,81.3,84.1,86.8,89.6,92.3,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Users,Non-paying Online Dating,million users,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.7,200,229.6,255.9,276.3,292.6,305.6,315.7,325.9,337.4,348.8,360.1,371.4,382.8,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Penetration Rate,Total,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,3.2,3.7,4.1,4.5,4.7,4.9,5,5.2,5.3,5.5,5.6,5.7,5.9,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Penetration Rate,Paying Online Dating,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1,1,1,1.1,1.1,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Penetration Rate,Non-paying Online Dating,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,2.7,3.1,3.4,3.7,3.8,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Revenue Comparison,Albania,million USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.67,0.82,1.05,1.21,1.3,1.43,1.51,1.59,1.65,1.71,1.77,1.82,1.88,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Online Dating,Revenue Comparison,Algeria,million USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,3.12,4.58,6.67,8.27,9.16,10,10.31,10.61,11.25,11.87,12.49,13.11,13.73,0,0,0,0,0,0,0,0,0,0,0
